ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",102/1254,371/9793,0.274932615,2.147061479,8.631436185,9.09200677856176e-15,3.72527725812083e-12,3.14560024770386e-12,118502414/118502453/118502545/118502555/118502687/118502689/118502697/118502857/118502868/118503338/118503574/118503599/118503638/118503734/118503790/118503913/118504221/118504492/118504550/118505205/118505219/118505625/118505626/118505728/118505758/118505760/118505845/118505855/118506036/118506256/118506326/118506372/118506420/118506880/118506883/118507272/118507399/118507541/118507542/118507617/118507625/118507633/118507678/118507771/118507778/118507884/118507892/118508129/118508313/118508314/118508392/118508807/118508989/118508990/118509138/118509200/118509274/118509430/118509475/118509547/118509606/118509632/118509655/118509676/118509729/118510168/118510359/118510376/118510667/118510714/118510831/118510926/118511691/118511899/118512028/118512400/118512524/118512968/118512988/118513116/118513165/118513502/118513548/118513629/118513696/118513810/118513813/118513870/118513889/118513956/118514169/118514473/118514620/118515203/118515241/118515257/118516704/118516756/118517157/118517203/118517439/118517639,102
GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,92/1254,322/9793,0.285714286,2.231259968,8.609159241,1.61968576440036e-14,3.72527725812083e-12,3.14560024770386e-12,118502453/118502545/118502687/118502857/118503338/118503599/118503879/118503913/118504492/118504550/118504564/118504761/118505205/118505219/118505286/118505710/118505711/118505728/118505760/118506036/118506206/118506210/118506326/118506372/118506880/118506883/118507137/118507272/118507399/118507541/118507617/118507625/118507633/118507678/118507771/118508117/118508129/118508313/118508314/118508392/118508807/118508967/118509086/118509138/118509200/118509274/118509289/118509430/118509547/118509606/118509632/118509655/118509676/118509990/118510168/118510359/118510376/118510626/118510667/118510714/118510794/118511240/118511691/118511899/118512028/118512400/118512524/118512853/118512968/118512988/118513116/118513502/118513696/118513810/118513813/118513930/118513956/118514043/118514169/118514366/118514436/118514473/118515257/118516438/118516704/118516756/118517157/118517203/118517247/118517334/118517639/118517661,92
GO:0045296,cadherin binding,9/1254,13/9793,0.692307692,5.406514538,6.092259866,3.97160271539332e-06,0.000456734,0.000385664,118502979/118505865/118506798/118508155/118508445/118509260/118512645/118515568/118517277,9
GO:0030154,cell differentiation,22/1254,64/9793,0.34375,2.684484649,5.180884456,7.30227132368682e-06,0.000671809,0.000567271,118502857/118503297/118503913/118506206/118508117/118508129/118508313/118508314/118509480/118509639/118509835/118509990/118510168/118510626/118510831/118512497/118512524/118513165/118513696/118514322/118514436/118514703,22
GO:0030182,neuron differentiation,13/1254,29/9793,0.448275862,3.50076995,5.168206043,2.17417517228246e-05,0.001666868,0.001407492,118504761/118505625/118505626/118505794/118505855/118508989/118508990/118509655/118512441/118512699/118513810/118513813/118514620,13
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,16/1254,43/9793,0.372093023,2.905826935,4.79950385,4.22875795596795e-05,0.0025626,0.002163843,118502979/118504716/118505603/118507374/118508221/118508445/118508473/118508954/118509260/118509462/118511415/118512250/118514067/118514070/118514091/118517277,16
GO:0007219,Notch signaling pathway,8/1254,13/9793,0.615384615,4.805790701,5.261724599,5.01378342078532e-05,0.0025626,0.002163843,118503297/118503640/118504221/118505030/118505437/118508403/118510984/118511695,8
GO:0030992,intraciliary transport particle B,8/1254,13/9793,0.615384615,4.805790701,5.261724599,5.01378342078532e-05,0.0025626,0.002163843,118504281/118504427/118509370/118511336/118511759/118512413/118513544/118517103,8
GO:0045944,positive regulation of transcription by RNA polymerase II,20/1254,65/9793,0.307692308,2.40289535,4.348616777,0.000113399,0.005216359,0.00440466,118503857/118504221/118504564/118505147/118506206/118506372/118508082/118508117/118508224/118509015/118509274/118509546/118509990/118510087/118510168/118510262/118513909/118514364/118514436/118515568,20
GO:0060271,cilium assembly,18/1254,56/9793,0.321428571,2.510167464,4.342976723,0.000132492,0.005540554,0.004678408,118503409/118503624/118503714/118506550/118506621/118507264/118509123/118509199/118509816/118510541/118511152/118511341/118511759/118512073/118512413/118512505/118512644/118517261,18
GO:0005929,cilium,12/1254,30/9793,0.4,3.123763955,4.464328997,0.000172892,0.006627528,0.005596242,118503281/118504653/118505418/118506305/118508138/118508804/118511152/118511336/118511759/118512413/118512644/118513544,12
GO:0042073,intraciliary transport,7/1254,Dec-93,0.583333333,4.555489102,4.722579844,0.000244565,0.007707994,0.006508581,118504427/118509370/118509499/118511152/118511336/118511759/118513544,7
GO:0004879,nuclear receptor activity,9/1254,19/9793,0.473684211,3.699194158,4.512900125,0.000248955,0.007707994,0.006508581,118506206/118508117/118508967/118509990/118510626/118510794/118510987/118514380/118514436,9
GO:0015074,DNA integration,26/1254,100/9793,0.26,2.030446571,3.96896561,0.000259525,0.007707994,0.006508581,118503311/118503941/118504363/118504451/118504786/118505467/118506018/118506375/118506592/118507156/118507514/118508058/118508955/118509327/118509629/118509844/118509982/118511085/118511538/118511603/118513324/118514016/118514020/118515076/118515145/118517729,26
GO:0005911,cell-cell junction,9/1254,20/9793,0.45,3.51423445,4.313082696,0.000401499,0.010864093,0.009173571,118505168/118506634/118506652/118508118/118508954/118509150/118511075/118511077/118514070,9
GO:0048856,anatomical structure development,10/1254,25/9793,0.4,3.123763955,4.074312988,0.000603664,0.015426979,0.013026442,118505205/118506206/118506256/118507199/118509632/118509990/118510626/118512740/118514436/118517639,10
GO:0003677,DNA binding,43/1254,208/9793,0.206730769,1.614445313,3.432415139,0.000875698,0.020141063,0.017006985,118502426/118502868/118503280/118503701/118503857/118503881/118504221/118504763/118504877/118504988/118505625/118505626/118505660/118505804/118505845/118505957/118506141/118506302/118507123/118507255/118507542/118507703/118507747/118507778/118508082/118508128/118510262/118510607/118510926/118511097/118511803/118512026/118513007/118513467/118513832/118513988/118516339/118517099/118517100/118517292/118517362/118517612/118517641,43
GO:0016342,catenin complex,6/1254,Nov-93,0.545454545,4.259678121,4.145130374,0.001133444,0.024486393,0.020676153,118502979/118506798/118508445/118509260/118515568/118517277,6
GO:0003700,DNA-binding transcription factor activity,18/1254,66/9793,0.272727273,2.12983906,3.529230783,0.0012216,0.024486393,0.020676153,118503742/118503879/118505029/118505286/118505710/118505711/118506210/118507137/118507487/118508249/118509086/118510270/118511252/118512024/118513988/118517247/118517334/118517661,18
GO:0000785,chromatin,10/1254,27/9793,0.37037037,2.892374033,3.77321425,0.00122432,0.024486393,0.020676153,118502426/118503701/118503881/118504697/118505152/118508958/118509639/118512989/118513467/118514103,10
GO:0007275,multicellular organism development,15/1254,51/9793,0.294117647,2.296885261,3.558308057,0.001333447,0.025557735,0.021580788,118502979/118503061/118503297/118509260/118510412/118510984/118511289/118512441/118512699/118513810/118513813/118514322/118516428/118517272/118517277,15
GO:1905515,non-motile cilium assembly,7/1254,15/9793,0.466666667,3.644391281,3.927600381,0.001400129,0.025575237,0.021595566,118502563/118506142/118508064/118509499/118511237/118513418/118513544,7
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,24/1254,101/9793,0.237623762,1.85570136,3.312509787,0.001735427,0.029566536,0.024965793,118502414/118502555/118502689/118503574/118503734/118505758/118505855/118506256/118506420/118507884/118507892/118508989/118508990/118509475/118509639/118509729/118513548/118513629/118513870/118513889/118514620/118515203/118515241/118517439,24
GO:0036064,ciliary basal body,10/1254,30/9793,0.333333333,2.603136629,3.369926927,0.00304158,0.044097911,0.037235994,118503714/118504281/118507484/118508064/118509370/118509499/118509816/118511112/118514012/118517103,10
GO:0005814,centriole,8/1254,21/9793,0.380952381,2.975013291,3.471913565,0.003075899,0.044097911,0.037235994,118503714/118505126/118506621/118507264/118508556/118509499/118511759/118514012,8
GO:0005102,signaling receptor binding,6/1254,13/9793,0.461538462,3.604343025,3.600654066,0.003351689,0.044097911,0.037235994,118504387/118505168/118507199/118509480/118509835/118512740,6
GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",7/1254,17/9793,0.411764706,3.215639366,3.503675698,0.003355276,0.044097911,0.037235994,118504613/118506065/118507971/118511517/118511858/118513085/118516332,7
GO:0030198,extracellular matrix organization,7/1254,17/9793,0.411764706,3.215639366,3.503675698,0.003355276,0.044097911,0.037235994,118502356/118502706/118504785/118511078/118511844/118513297/118513917,7
GO:0046983,protein dimerization activity,18/1254,72/9793,0.25,1.952352472,3.108060428,0.003499771,0.044719294,0.037760685,118502414/118502689/118503599/118504492/118506420/118506991/118507884/118507892/118508392/118508807/118509475/118510987/118511899/118512968/118512988/118513116/118517439/118517741,18
GO:0038023,signaling receptor activity,9/1254,26/9793,0.346153846,2.703257269,3.332478031,0.00365296,0.045415179,0.038348286,118503178/118503380/118503384/118504330/118505829/118506312/118507387/118507670/118508512,9
