ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,69/1192,322/9793,0.214285714,1.760486577,5.165601825,1.3320472283383e-06,0.000290277,0.000245131,118502453/118502545/118502687/118502857/118503338/118503879/118503913/118504550/118504761/118505219/118505286/118505711/118505728/118506036/118506206/118506210/118506372/118506883/118507399/118507617/118507625/118507633/118507678/118507771/118507772/118508129/118508314/118508967/118509138/118509289/118509430/118509606/118509632/118509644/118509655/118509676/118509691/118509990/118510168/118510376/118510626/118510667/118510714/118511164/118511216/118511240/118511691/118511899/118512028/118512374/118512400/118512760/118512853/118512988/118513269/118513502/118513696/118513810/118513930/118514366/118514436/118514473/118516364/118516438/118516704/118516756/118517247/118517334/118517661,69
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",74/1192,371/9793,0.199460916,1.638691908,4.668809729,8.91539885567339e-06,0.00079347,0.000670063,118502414/118502453/118502545/118502555/118502687/118502689/118502697/118502857/118502868/118503338/118503574/118503638/118503734/118503790/118503913/118504550/118505219/118505728/118505758/118505845/118505855/118506036/118506256/118506372/118506420/118506883/118507399/118507617/118507625/118507633/118507678/118507771/118507772/118507778/118507884/118507892/118508129/118508314/118508989/118508990/118509138/118509430/118509475/118509606/118509632/118509644/118509655/118509676/118509691/118509729/118510168/118510376/118510667/118510714/118510831/118510926/118511164/118511216/118511691/118511899/118512028/118512400/118512988/118513165/118513269/118513502/118513696/118513810/118513889/118514473/118514620/118515203/118516704/118516756,74
GO:0071805,potassium ion transmembrane transport,11/1192,24/9793,0.458333333,3.765485179,5.049533498,4.56978833069394e-05,0.00290508,0.002453255,118504801/118505039/118506020/118506841/118507132/118513601/118513648/118513649/118513650/118517003/118517144,11
GO:0004879,nuclear receptor activity,9/1192,19/9793,0.473684211,3.891601907,4.696545044,0.000167798,0.008296676,0.0070063,118506206/118508967/118509990/118510626/118510987/118512760/118514380/118514436/118516364,9
GO:0015074,DNA integration,25/1192,100/9793,0.25,2.053901007,3.943393073,0.000295698,0.010471029,0.008842478,118502349/118502372/118503306/118503311/118503875/118503941/118504363/118504451/118505467/118506018/118506375/118506592/118507156/118507514/118508058/118508955/118509210/118509629/118509844/118511603/118514020/118515076/118515145/118516914/118517729,25
GO:0038023,signaling receptor activity,10/1192,26/9793,0.384615385,3.159847703,4.105145601,0.000578747,0.017169487,0.014499129,118502814/118503380/118504330/118505829/118506296/118506312/118507387/118507670/118507671/118508512,10
GO:0005891,voltage-gated calcium channel complex,6/1192,Nov-93,0.545454545,4.48123856,4.300467352,0.000861093,0.023949152,0.020224358,118504855/118504857/118511274/118512916/118513809/118517105,6
GO:0005929,cilium,10/1192,30/9793,0.333333333,2.738534676,3.550190816,0.002075024,0.043970753,0.037132014,118503281/118504653/118505418/118506305/118508138/118511092/118511152/118511336/118512413/118513544,10
GO:0030198,extracellular matrix organization,7/1192,17/9793,0.411764706,3.382895776,3.660566222,0.002498338,0.045860832,0.038728131,118502706/118504785/118505142/118511078/118511844/118513297/118513917,7
GO:0003714,transcription corepressor activity,9/1192,26/9793,0.346153846,2.843862932,3.504564602,0.002570349,0.045860832,0.038728131,118502549/118503713/118504078/118505542/118506040/118509006/118512155/118513181/118514528,9
GO:0030992,intraciliary transport particle B,6/1192,13/9793,0.461538462,3.791817243,3.749631512,0.002576451,0.045860832,0.038728131,118504281/118511092/118511336/118512413/118513544/118517103,6
GO:0045296,cadherin binding,6/1192,13/9793,0.461538462,3.791817243,3.749631512,0.002576451,0.045860832,0.038728131,118502979/118505865/118508155/118509260/118512645/118517277,6
