ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005739,mitochondrion,88/1024,327/9793,0.26911315,2.573657301,9.890344815,1.23407528417265e-17,4.77587134974817e-15,4.35173915997725e-15,118502685/118502850/118502908/118502975/118503011/118503511/118503594/118503601/118503985/118504114/118504119/118504158/118504235/118504752/118504760/118504774/118504969/118504974/118504976/118505055/118505075/118505308/118505523/118505703/118505732/118506083/118506324/118506617/118506636/118507183/118507188/118507410/118507411/118507414/118507427/118507622/118507854/118507907/118508060/118508122/118508206/118508506/118508560/118509427/118509527/118509788/118510198/118510242/118510292/118510454/118510455/118511016/118511089/118511104/118511117/118511197/118511853/118512408/118512540/118512612/118512837/118512858/118512962/118512980/118513265/118513280/118513285/118513368/118513443/118513490/118513491/118513530/118513613/118513768/118514253/118514385/118514447/118514451/118516367/118516488/118516530/118516532/118517270/118517284/118517575/118517615/118517616/118517618,88
GO:0005747,GO:0005747,20/1024,38/9793,0.526315789,5.033408717,8.512576733,1.08979739973757e-10,2.1087579684922e-08,1.92148488901098e-08,118502569/118504774/118505523/118506754/118507183/118507284/118507411/118507970/118508506/118509616/118510136/118510179/118510548/118511430/118511615/118512803/118513311/118513351/118513977/118516927,20
GO:0005506,iron ion binding,38/1024,151/9793,0.251655629,2.406702711,5.952753242,1.75400763055499e-07,1.24110116677107e-05,1.13088233610311e-05,118502409/118502459/118502460/118503065/118503800/118504411/118504412/118504413/118504415/118504477/118504599/118504808/118504895/118504899/118505440/118505441/118506189/118506660/118506666/118506814/118506832/118506833/118506914/118506916/118507486/118507758/118510036/118510076/118511197/118512064/118512203/118512341/118512771/118513118/118513644/118516383/118517131/118517133,38
GO:0006099,tricarboxylic acid cycle,12/1024,21/9793,0.571428571,5.46484375,6.998981233,1.92418785545902e-07,1.24110116677107e-05,1.13088233610311e-05,118503432/118504114/118505075/118505786/118506617/118506636/118506917/118507364/118507622/118509527/118510198/118517501,12
GO:0030170,pyridoxal phosphate binding,14/1024,34/9793,0.411764706,3.937902114,5.863875851,3.18796895717827e-06,0.000176249,0.000160597,118502685/118502961/118504119/118504235/118505036/118505063/118505813/118507895/118507912/118510578/118511436/118513265/118514253/118517305,14
GO:0015986,proton motive force-driven ATP synthesis,7/1024,Oct-93,0.7,6.694433594,6.156376216,1.21020865471622e-05,0.00052039,0.000474175,118507831/118507973/118510160/118510727/118511311/118513902/118517570,7
GO:0008194,UDP-glycosyltransferase activity,11/1024,27/9793,0.407407407,3.896231192,5.149527649,4.15118996103521e-05,0.001606511,0.001463841,118506220/118508335/118508475/118510049/118513162/118513274/118514082/118514200/118514446/118514468/118517662,11
GO:0043171,peptide catabolic process,10/1024,23/9793,0.434782609,4.158033288,5.181362592,4.77858465709559e-05,0.001681193,0.001531891,118505826/118505827/118505828/118506173/118506638/118506639/118512315/118512318/118513317/118513372,10
GO:0004497,monooxygenase activity,24/1024,99/9793,0.242424242,2.318418561,4.505365651,6.14727744583292e-05,0.001982497,0.001806437,118502409/118503065/118503800/118504411/118504412/118504413/118504415/118504477/118504599/118504808/118504895/118504899/118505440/118505441/118506660/118506666/118506914/118506916/118512064/118512203/118512341/118513644/118517131/118517133,24
GO:0020037,heme binding,32/1024,151/9793,0.21192053,2.02669702,4.344680625,7.0661660658374e-05,0.002018617,0.001839349,118502409/118503065/118503758/118503800/118504411/118504412/118504413/118504415/118504477/118504599/118504808/118504895/118504899/118505079/118505440/118505441/118505786/118506660/118506666/118506914/118506916/118507113/118511104/118512064/118512203/118512341/118512771/118513644/118514240/118516383/118517131/118517133,32
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",24/1024,100/9793,0.24,2.295234375,4.448667029,7.30248966666217e-05,0.002018617,0.001839349,118502409/118503065/118503800/118504411/118504412/118504413/118504415/118504477/118504599/118504808/118504895/118504899/118505440/118505441/118506660/118506666/118506914/118506916/118512064/118512203/118512341/118513644/118517131/118517133,24
GO:0005840,ribosome,26/1024,113/9793,0.230088496,2.200445935,4.385860297,7.96908414659454e-05,0.002056024,0.001873434,118503071/118503195/118503753/118504862/118505175/118506106/118506789/118507087/118507208/118507661/118508009/118508369/118508450/118509063/118510167/118510526/118510559/118510781/118510858/118511001/118511525/118513034/118513084/118513979/118514053/118514426,26
GO:0022625,cytosolic large ribosomal subunit,14/1024,44/9793,0.318181818,3.042924361,4.640975074,9.66922495327625e-05,0.002338744,0.002131046,118503071/118503195/118504700/118507087/118507661/118508009/118508450/118510526/118510559/118511001/118513034/118513214/118513979/118514426,14
GO:0006412,translation,25/1024,111/9793,0.225225225,2.153936163,4.178028322,0.00015617,0.003555175,0.003239449,118503071/118503195/118503753/118504862/118505175/118506106/118506609/118506789/118507208/118508009/118508369/118508450/118509063/118510167/118510526/118510559/118510781/118510858/118511001/118511525/118513034/118513084/118513490/118514053/118517495,25
GO:0022627,cytosolic small ribosomal subunit,11/1024,31/9793,0.35483871,3.393491683,4.560936374,0.000181876,0.003802364,0.003464686,118503753/118504862/118505175/118506106/118506609/118506789/118507208/118508369/118510167/118510781/118513084,11
GO:0032367,intracellular cholesterol transport,6/1024,Oct-93,0.6,5.738085938,5.12244793,0.000186679,0.003802364,0.003464686,118504389/118504390/118504395/118504397/118507360/118510253,6
GO:0005811,lipid droplet,8/1024,18/9793,0.444444444,4.250434028,4.716608953,0.000233009,0.004188028,0.003816101,118503171/118504498/118504969/118505751/118507060/118507879/118512702/118517023,8
GO:0003735,structural constituent of ribosome,30/1024,147/9793,0.204081633,1.951729911,3.972916182,0.000238079,0.004188028,0.003816101,118503071/118503195/118503753/118504700/118504862/118505175/118506106/118506609/118506789/118507087/118507208/118507661/118508009/118508369/118508450/118509063/118510167/118510526/118510559/118510781/118510858/118511001/118511525/118513034/118513084/118513214/118513979/118514053/118514426/118517495,30
GO:0006631,fatty acid metabolic process,6/1024,Dec-93,0.5,4.781738281,4.479206751,0.000682667,0.011486607,0.010466513,118503962/118507758/118510134/118511089/118512992/118516924,6
GO:0051539,"4 iron, 4 sulfur cluster binding",7/1024,17/9793,0.411764706,3.937902114,4.142779625,0.001012984,0.016334363,0.014883752,118506083/118510198/118510483/118511197/118511955/118513311/118516530,7
GO:0070006,metalloaminopeptidase activity,10/1024,32/9793,0.3125,2.988586426,3.85019698,0.00112152,0.017361135,0.015819339,118502866/118502919/118502924/118506173/118506638/118506639/118512315/118512318/118513317/118513372,10
GO:0006635,fatty acid beta-oxidation,6/1024,14/9793,0.428571429,4.098632813,3.964583379,0.001845507,0.027469666,0.02503016,118503985/118504158/118505581/118507410/118509920/118516367,6
GO:0005751,GO:0005751,5/1024,Oct-93,0.5,4.781738281,4.088519644,0.001988646,0.028503922,0.025972566,118502751/118504238/118508472/118511755/118511761,5
GO:0032934,sterol binding,6/1024,15/9793,0.4,3.825390625,3.742051486,0.002806191,0.038785563,0.035341122,118503709/118504395/118504397/118506560/118507360/118510253,6
GO:0042277,peptide binding,8/1024,25/9793,0.32,3.0603125,3.524608806,0.002959879,0.03949908,0.035991274,118504544/118506173/118506638/118506639/118512315/118512318/118513317/118513372,8
