ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005739,mitochondrion,56/704,327/9793,0.171253823,2.382228246,7.075129119,6.5470036889913e-10,2.16051121736713e-07,1.93653477537532e-07,118502685/118503011/118503511/118503594/118503601/118503985/118504119/118504158/118504235/118504760/118504969/118504974/118504976/118505055/118505308/118505523/118505703/118505732/118506083/118506636/118507183/118507414/118507907/118508060/118508560/118509788/118510198/118510292/118510455/118511104/118511117/118511904/118512408/118512540/118512837/118512858/118513265/118513280/118513368/118513443/118513490/118513491/118513530/118513613/118513768/118514253/118514385/118514447/118514451/118516367/118516530/118516532/118517270/118517284/118517616/118517618,56
GO:0030170,pyridoxal phosphate binding,12/704,34/9793,0.352941176,4.909592246,6.355244222,2.17814604073466e-06,0.000179697,0.000161068,118502685/118504119/118504235/118505036/118505063/118505813/118507895/118507912/118510578/118511436/118513265/118514253,12
GO:0004497,monooxygenase activity,21/704,99/9793,0.212121212,2.950714532,5.429049346,5.54899786132841e-06,0.000360737,0.00032334,118502409/118503065/118503800/118504411/118504412/118504413/118504415/118504477/118504599/118504808/118504895/118504899/118506660/118506666/118506913/118506914/118506916/118507749/118509953/118512203/118516854,21
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",21/704,100/9793,0.21,2.921207386,5.374141802,6.5588632431331e-06,0.000360737,0.00032334,118502409/118503065/118503800/118504411/118504412/118504413/118504415/118504477/118504599/118504808/118504895/118504899/118506660/118506666/118506913/118506914/118506916/118507749/118509953/118512203/118516854,21
GO:0005506,iron ion binding,26/704,151/9793,0.17218543,2.395187387,4.808409337,2.45760009149917e-05,0.00101376,0.000908665,118502409/118503065/118503800/118504315/118504411/118504412/118504413/118504415/118504477/118504599/118504808/118504895/118504899/118506660/118506666/118506913/118506914/118506916/118507749/118509953/118510036/118510076/118512203/118513118/118514075/118516854,26
GO:0020037,heme binding,26/704,151/9793,0.17218543,2.395187387,4.808409337,2.45760009149917e-05,0.00101376,0.000908665,118502409/118503065/118503800/118504411/118504412/118504413/118504415/118504477/118504599/118504808/118504895/118504899/118505079/118506660/118506666/118506913/118506914/118506916/118507113/118507749/118507999/118509953/118511104/118511904/118512203/118516854,26
GO:0022625,cytosolic large ribosomal subunit,10/704,44/9793,0.227272727,3.161479855,3.99909274,0.000912429,0.03230538,0.028956338,118503071/118503195/118507087/118508450/118510526/118510559/118511001/118513034/118513214/118514426,10
GO:0016788,"hydrolase activity, acting on ester bonds",5/704,Dec-93,0.416666667,5.796046402,4.626433777,0.000978951,0.03230538,0.028956338,118504419/118508008/118508010/118509858/118511672,5
GO:0005811,lipid droplet,6/704,18/9793,0.333333333,4.636837121,4.297992972,0.001185047,0.035551395,0.031865844,118503171/118504498/118504969/118507060/118507879/118517023,6
GO:0055085,transmembrane transport,29/704,226/9793,0.128318584,1.784977122,3.32267078,0.001609661,0.044265671,0.039676726,118502705/118502916/118502974/118504927/118505785/118505861/118506023/118507113/118507128/118507269/118508281/118508484/118508892/118509517/118509699/118510716/118512208/118513938/118513942/118513944/118514146/118514334/118514417/118514698/118517396/118517504/118517520/118517524/118517678,29
GO:0022857,transmembrane transporter activity,13/704,73/9793,0.178082192,2.477214352,3.525622397,0.001893587,0.048067977,0.043084853,118502705/118502916/118502974/118505861/118506023/118507269/118508281/118509699/118510716/118512208/118513944/118514146/118517520,13
