ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005839,proteasome core complex,12/932,16/9793,0.75,7.880633047,8.932805359,6.55321269948002e-10,9.06527756761403e-08,8.6226482887895e-08,118502737/118505312/118505471/118505491/118507306/118509926/118510998/118511242/118511848/118513582/118514498/118517197,12
GO:0004497,monooxygenase activity,26/932,99/9793,0.262626263,2.759548272,5.70649664,1.14074957990373e-06,7.2866291592524e-05,6.93084574437451e-05,118503064/118503800/118504410/118504412/118504415/118504593/118504595/118505439/118506661/118506914/118507749/118509953/118510512/118514327/118514650/118516848/118516854/118517131/118517132/118517133/118517134/118517135/118517138/118517141/118517142/118517143,26
GO:0006749,glutathione metabolic process,13/932,30/9793,0.433333333,4.553254649,6.321171975,1.24194227564216e-06,7.2866291592524e-05,6.93084574437451e-05,118502580/118502999/118503004/118503124/118503126/118503128/118504242/118512550/118512552/118512553/118512554/118512555/118514783,13
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",26/932,100/9793,0.26,2.73195279,5.64558868,1.40465140419323e-06,7.2866291592524e-05,6.93084574437451e-05,118503064/118503800/118504410/118504412/118504415/118504593/118504595/118505439/118506661/118506914/118507749/118509953/118510512/118514327/118514650/118516848/118516854/118517131/118517132/118517133/118517134/118517135/118517138/118517141/118517142/118517143,26
GO:0004364,glutathione transferase activity,12/932,27/9793,0.444444444,4.670004769,6.192876809,2.31572221320271e-06,0.000106781,0.000101567,118502999/118503004/118503124/118503126/118503128/118504242/118512550/118512552/118512553/118512554/118512555/118514783,12
GO:0044419,biological process involved in interspecies interaction between organisms,8/932,13/9793,0.615384615,6.466160449,6.395682773,5.44239372173496e-06,0.000225859,0.000214831,118503698/118507056/118509374/118509375/118512323/118512948/118517329/118517330,8
GO:0030246,carbohydrate binding,15/932,46/9793,0.326086957,3.426362194,5.349354183,1.28632637852183e-05,0.000485296,0.0004616,118503119/118503698/118507056/118509374/118509375/118512323/118512326/118512948/118513245/118513247/118514567/118514572/118517329/118517330/118517517,15
GO:0009897,external side of plasma membrane,9/932,20/9793,0.45,4.728379828,5.412818794,3.93164751555428e-05,0.001359695,0.001293305,118503698/118507056/118509374/118509375/118509918/118512323/118512948/118517329/118517330,9
GO:0005506,iron ion binding,30/932,151/9793,0.198675497,2.087584913,4.367876746,7.29335786323047e-05,0.00216196,0.002056398,118503064/118503800/118504410/118504412/118504415/118504593/118504595/118505439/118506661/118506795/118506815/118506914/118507749/118509953/118510512/118511288/118514327/118514650/118516848/118516854/118517131/118517132/118517133/118517134/118517135/118517138/118517141/118517142/118517143/118517340,30
GO:0020037,heme binding,30/932,151/9793,0.198675497,2.087584913,4.367876746,7.29335786323047e-05,0.00216196,0.002056398,118502369/118503064/118503800/118504410/118504412/118504415/118504593/118504595/118505439/118506661/118506914/118507749/118508048/118508253/118509953/118510495/118510512/118514327/118514650/118516848/118516854/118517131/118517132/118517133/118517134/118517135/118517138/118517141/118517142/118517143,30
GO:0004190,aspartic-type endopeptidase activity,16/932,64/9793,0.25,2.626877682,4.234606669,0.000242024,0.005579988,0.005307534,118502464/118502774/118503902/118504363/118504519/118504786/118508925/118508944/118509627/118515153/118515178/118515254/118515270/118516844/118516914/118517729,16
GO:0015074,DNA integration,21/932,100/9793,0.21,2.206577253,3.933039585,0.000391155,0.008472184,0.008058514,118503306/118503838/118504363/118504519/118504786/118505467/118506375/118508925/118509627/118511538/118513120/118513244/118513324/118513701/118514020/118515163/118516598/118516844/118516914/118517018/118517729,21
GO:0008540,"proteasome regulatory particle, base subcomplex",6/932,Dec-93,0.5,5.253755365,4.781606065,0.000408298,0.008472184,0.008058514,118503583/118504813/118506473/118508278/118510219/118517025,6
GO:0008194,UDP-glycosyltransferase activity,9/932,27/9793,0.333333333,3.502503577,4.222800062,0.000594593,0.011750299,0.011176568,118504920/118508335/118509094/118512083/118513160/118513162/118513862/118514079/118514655,9
GO:0046949,fatty-acyl-CoA biosynthetic process,6/932,15/9793,0.4,4.203004292,4.026061679,0.00172187,0.028583048,0.027187426,118503659/118506183/118506184/118508388/118510358/118512523,6
GO:0016491,oxidoreductase activity,16/932,76/9793,0.210526316,2.212107522,3.440203485,0.001811358,0.028912059,0.027500373,118504198/118509017/118509466/118511288/118511322/118511825/118511832/118511833/118512928/118513211/118514112/118514284/118514285/118514471/118516469/118517097,16
GO:0001676,long-chain fatty acid metabolic process,6/932,16/9793,0.375,3.940316524,3.817275971,0.002535339,0.038969098,0.037066358,118503659/118506183/118506184/118508388/118510358/118512523,6
GO:0003676,nucleic acid binding,45/932,313/9793,0.143769968,1.510664482,2.977871429,0.003143908,0.046597206,0.04432201,118502444/118503197/118503306/118503308/118503776/118503777/118503804/118503838/118504150/118504363/118504455/118504519/118504786/118505467/118506244/118506375/118507107/118507432/118508925/118508944/118509627/118509775/118510042/118510467/118510468/118511538/118511614/118512099/118513120/118513244/118513324/118513701/118513949/118514020/118514262/118514664/118514855/118515162/118515163/118515270/118516598/118516844/118516914/118517018/118517729,45
