category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,aste04310,Wnt signaling pathway,19/301,74/4559,0.256756757,3.888883901,6.660890657,1.64156561602849e-07,1.72364389682991e-05,1.41693032120354e-05,118502549/118502758/118503029/118503061/118503338/118503650/118504079/118506334/118506497/118508155/118508869/118509015/118509225/118510481/118511289/118512441/118512699/118513545/118515568,19
Environmental Information Processing,Signal transduction,aste04391,Hippo signaling pathway - fly,16/301,59/4559,0.271186441,4.107438482,6.38689635,7.16106759329844e-07,3.75956048648168e-05,3.09056601394985e-05,118502530/118503559/118504564/118505024/118505225/118510518/118511075/118511077/118512441/118512524/118513087/118513230/118513659/118513763/118514070/118514091,16
Environmental Information Processing,Signal transduction,aste04330,Notch signaling pathway,9/301,26/4559,0.346153846,5.242908255,5.767997124,2.42914068607368e-05,0.000637649,0.000524183,118502549/118503297/118503640/118504221/118506334/118509015/118509289/118510984/118512988,9
Cellular Processes,Cell motility,aste04814,Motor proteins,18/301,104/4559,0.173076923,2.621454127,4.446978827,0.000124043,0.002604897,0.002141369,118502780/118503370/118503483/118503559/118505225/118505310/118506025/118506182/118506550/118508123/118508355/118509291/118510415/118511112/118513482/118513806/118516954/118517005,18
Metabolism,Glycan biosynthesis and metabolism,aste00512,Mucin type O-glycan biosynthesis,7/301,22/4559,0.318181818,4.819238901,4.773878434,0.000366799,0.004819326,0.003961751,118503098/118505158/118508047/118511189/118512469/118514458/118517345,7
Human Diseases,Infectious disease: bacterial,aste05100,Bacterial invasion of epithelial cells,10/301,43/4559,0.23255814,3.522367303,4.418075863,0.000367187,0.004819326,0.003961751,118503559/118504955/118505225/118506798/118508927/118509119/118509835/118510715/118512835/118515568,10
Organismal Systems,Development and regeneration,aste04320,Dorso-ventral axis formation,7/301,26/4559,0.269230769,4.077817531,4.184121268,0.001124806,0.011133075,0.009152001,118503297/118510008/118510660/118510831/118512570/118513099/118513755,7
Environmental Information Processing,Signal transduction,aste04013,MAPK signaling pathway - fly,14/301,85/4559,0.164705882,2.494664843,3.698050792,0.001166322,0.011133075,0.009152001,118504387/118506206/118506687/118506746/118507943/118509155/118509835/118510831/118512226/118512570/118513276/118513376/118515257/118516438,14
NA,NA,aste04081,Hormone signaling,10/301,52/4559,0.192307692,2.912726808,3.687893894,0.001782042,0.014393419,0.011832184,118506342/118506497/118507829/118508927/118509225/118509835/118510753/118512524/118512835/118514703,10
Cellular Processes,Transport and catabolism,aste04148,Efferocytosis,12/301,73/4559,0.164383562,2.489782915,3.411319247,0.002635528,0.019766459,0.016249119,118503234/118504791/118505437/118505942/118506357/118508807/118510715/118511695/118512570/118514703/118517157/118517741,12
