category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Energy metabolism,aste00190,Oxidative phosphorylation,56/457,105/4559,0.533333333,5.320495988,14.94860209,1.31757326584009e-29,1.5152092557161e-27,1.01245103585607e-27,118502537/118502569/118502751/118503432/118503970/118504118/118504238/118504698/118505181/118505523/118505600/118505601/118505786/118506710/118506754/118507183/118507284/118507364/118507411/118507831/118507859/118507970/118507973/118508122/118508472/118508506/118509271/118509616/118509788/118510136/118510160/118510179/118510455/118510548/118510698/118510727/118511311/118511430/118511575/118511615/118511755/118511761/118512803/118513311/118513351/118513530/118513902/118513977/118513980/118514240/118516561/118516562/118516927/118517173/118517570/118517666,56
Metabolism,Amino acid metabolism,aste00280,"Valine, leucine and isoleucine degradation",19/457,34/4559,0.558823529,5.5747844,8.936104331,3.26635075010668e-11,1.25210112087423e-09,8.36644227220307e-10,118502908/118503511/118503962/118504158/118504718/118504752/118505055/118507410/118509920/118510454/118511016/118511117/118512037/118512837/118513443/118514253/118514451/118516367/118516532,19
Metabolism,Carbohydrate metabolism,aste00020,Citrate cycle (TCA cycle),15/457,28/4559,0.535714286,5.344248203,7.695627663,9.10024421956464e-09,2.61632021312483e-07,1.74820481060058e-07,118503432/118504619/118504752/118504760/118505075/118505786/118506617/118506636/118506917/118507364/118507622/118509527/118510198/118512344/118512394,15
Metabolism,Global and overview maps,aste01230,Biosynthesis of amino acids,19/457,51/4559,0.37254902,3.716522933,6.511093659,1.6689585430808e-07,3.19883720757153e-06,2.13743813412102e-06,118502878/118502961/118504234/118504760/118505036/118505075/118505813/118506852/118507153/118508267/118510198/118511655/118511697/118512394/118513118/118514018/118516532/118517126/118517623,19
Metabolism,Lipid metabolism,aste00071,Fatty acid degradation,14/457,33/4559,0.424242424,4.232212718,6.219379565,1.15924425294987e-06,1.48125654543595e-05,9.89764099009831e-06,118503390/118504718/118507060/118507410/118509247/118509920/118511089/118511648/118511710/118511711/118511713/118512037/118513443/118516367,14
Metabolism,Carbohydrate metabolism,aste00640,Propanoate metabolism,11/457,24/4559,0.458333333,4.57230124,5.856153906,6.78132335398747e-06,6.49876821423799e-05,4.34242635825513e-05,118502908/118503390/118503511/118504752/118505186/118507410/118507622/118511117/118512268/118512837/118514253,11
Metabolism,Metabolism of other amino acids,aste00410,beta-Alanine metabolism,11/457,25/4559,0.44,4.38940919,5.67153585,1.10287317882431e-05,9.75618581267663e-05,6.51900745377935e-05,118502908/118503252/118503390/118503511/118504718/118507410/118509675/118511021/118512037/118512837/118514253,11
Metabolism,Xenobiotics biodegradation and metabolism,aste00982,Drug metabolism - cytochrome P450,16/457,51/4559,0.31372549,3.129703523,5.104576491,2.07600803164076e-05,0.000170529,0.000113946,118503002/118503123/118503126/118503127/118506220/118508475/118509675/118512551/118512554/118512907/118512913/118513162/118513274/118514082/118514446/118517662,16
Metabolism,Xenobiotics biodegradation and metabolism,aste00980,Metabolism of xenobiotics by cytochrome P450,16/457,52/4559,0.307692308,3.069516916,5.009268444,2.726804734683e-05,0.000203945,0.000136275,118503002/118503123/118503126/118503127/118506220/118508475/118509675/118512551/118512554/118512907/118512913/118513162/118513274/118514082/118514446/118517662,16
Metabolism,Xenobiotics biodegradation and metabolism,aste00983,Drug metabolism - other enzymes,21/457,81/4559,0.259259259,2.586352217,4.807812442,2.95683177383882e-05,0.000203945,0.000136275,118503002/118503123/118503126/118503127/118503252/118506220/118508475/118509413/118510725/118511021/118511400/118512551/118512554/118512907/118512913/118513162/118513274/118514082/118514446/118517218/118517662,21
